id;course_id;name;description;sequence;start_hole;end_hole;created_at;updated_at
bb0485d7-0187-4314-af46-b78eef54f5f3;04ba974b-b322-41c3-9b69-38e7c1b336c6;Front 9;;1;1;9;2025-11-02 06:00:56.200018+00;2025-11-02 06:00:56.200018+00
2f1b42ab-3d3a-4205-a450-25ffcac7a9cb;04ba974b-b322-41c3-9b69-38e7c1b336c6;Back 9;;2;10;18;2025-11-02 06:01:08.460379+00;2025-11-02 06:01:08.460379+00
1ce89fb7-74e8-4c44-a24d-c9e5b444536a;f96cc688-cbcb-4280-96e0-c129e6cc281a;Front 9;;1;1;9;2025-11-03 04:27:40.149947+00;2025-11-03 04:27:40.149947+00
e3f3ba05-79b7-4c42-a093-1e9897b8db3d;f96cc688-cbcb-4280-96e0-c129e6cc281a;Back 9;;2;10;18;2025-11-03 04:27:50.879816+00;2025-11-03 04:27:50.879816+00
3c042ffc-1334-457a-a518-b84f7a380188;42c21a9b-e95b-414d-99db-bda69b8e02e4;Front 9;;1;1;9;2025-11-03 08:03:31.168908+00;2025-11-03 08:03:31.168908+00
049d6aa9-e9cc-4513-89a4-0fa800c5db98;8ce67550-7f09-40c1-8f64-45278c682079;A;Course A;1;1;9;2025-11-04 06:41:11.088865+00;2025-11-04 06:41:11.088865+00
a0b3636c-4b14-48f2-89de-77cdac6ae168;f7ad3852-3d4a-43da-ab9f-959ad91177d3;Front 9;;1;1;9;2025-11-05 03:01:54.931745+00;2025-11-05 03:01:54.931745+00
ce4855c3-b20a-4488-9d99-18fffcd4aec0;f7ad3852-3d4a-43da-ab9f-959ad91177d3;Back 9;;2;10;18;2025-11-05 03:02:04.990456+00;2025-11-05 03:02:04.990456+00
e469461d-ea18-4c14-95c2-068d35da0853;ea21d8df-323d-4c5c-b169-3d85596138b4;Front 9;;1;1;9;2025-11-05 03:14:49.278983+00;2025-11-05 03:14:49.278983+00
38941001-6793-4a76-9d11-efb08c1031eb;ea21d8df-323d-4c5c-b169-3d85596138b4;Back 9;;2;10;18;2025-11-05 03:14:54.409137+00;2025-11-05 03:14:54.409137+00
b7f19c25-0493-44b6-8d1e-dffdfceee5d7;8ce67550-7f09-40c1-8f64-45278c682079;B;Course B;2;10;18;2025-11-04 06:41:22.397236+00;2025-11-05 05:21:11.127165+00
97b9d3d8-8c05-4235-b8b0-3e8b565af461;8ce67550-7f09-40c1-8f64-45278c682079;C;Course C;3;19;27;2025-11-04 06:41:29.275109+00;2025-11-05 05:21:18.257583+00
7f9c34a0-f652-4ddc-bba1-58d762959028;119c4231-9001-46d6-baf3-e333b59742d5;Front 9;;1;1;9;2025-11-05 05:28:32.150776+00;2025-11-05 05:28:40.974754+00
912cdc05-1d2c-430f-94ed-3b72f1c67dba;119c4231-9001-46d6-baf3-e333b59742d5;Back 9;;2;10;18;2025-11-05 05:28:48.350534+00;2025-11-05 05:28:48.350534+00
c7b85788-a533-474e-8945-cd56c4cd6e9d;03b3f7a6-6671-49ff-b70c-ffd48f59cd03;Front 9;;1;1;9;2025-11-05 07:02:02.857629+00;2025-11-05 07:02:02.857629+00
f94847de-0da9-4086-afb1-fce39fc0026d;03b3f7a6-6671-49ff-b70c-ffd48f59cd03;Back 9;;2;10;18;2025-11-05 07:02:08.834928+00;2025-11-05 07:02:08.834928+00
